scene_index,family_id,scene,primary_object,interactor_object,anchor_objects,first_frame_summary,event_T0,event_T1,event_T2_div_a,event_T2_div_b,event_id_T0,event_id_T1,event_id_T2_div_a,event_id_T2_div_b,event_delta_T0,event_delta_T1,event_delta_T2_div_a,event_delta_T2_div_b
1,bedroom_adult_bed_sit,a bedroom,an adult person in casual home clothes,a neatly made bed,a bedside table; a bedroom curtain,"an adult person in casual home clothes on the left third of the frame facing a neatly made bed in the far right distance, with a bedside table and a bedroom curtain clearly visible in the background","An adult person stands on the bedroom floor, facing the bed.",The adult person walks toward the bed.,"The adult sits on the wooden floor hugging his knees, without walking toward the bed.",The adult person sits down on the bed.,bedroom_adult_bed_sit__T0__none,bedroom_adult_bed_sit__T1__none,bedroom_adult_bed_sit__T2_div_a__none,bedroom_adult_bed_sit__T2_div_b__none,none,spatial,state_only,full
2,bedroom_cat_bed_jump,a bedroom,a house cat,a neatly made bed,a bedside table; a dresser,"a house cat on the left third of the frame facing a neatly made bed in the far right distance, with a bedside table and a dresser clearly visible in the background","A house cat waits on the bedroom floor, facing the bed.",The cat walks toward the bed.,"The cat rests its chin on its paws on the wooden floor, without jumping onto the bed.",The cat jumps up onto the bed.,bedroom_cat_bed_jump__T0__none,bedroom_cat_bed_jump__T1__none,bedroom_cat_bed_jump__T2_div_a__none,bedroom_cat_bed_jump__T2_div_b__none,none,spatial,state_only,full
3,bedroom_adult_blanket_fold,a bedroom,an adult person holding a folded blanket,a neatly made bed,a bedside table; a bedroom curtain,"an adult person holding a folded blanket on the left third of the frame facing a neatly made bed in the far right distance, with a bedside table and a bedroom curtain clearly visible in the background","An adult person stands on the bedroom floor holding a folded blanket, facing the bed.",The adult person walks toward the bed with the blanket.,"The adult folds the blanket in place, without walking toward the bed.",The adult person lays the blanket onto the bed and begins straightening it.,bedroom_adult_blanket_fold__T0__none,bedroom_adult_blanket_fold__T1__none,bedroom_adult_blanket_fold__T2_div_a__none,bedroom_adult_blanket_fold__T2_div_b__none,none,spatial,state_only,full
4,living_room_adult_sofa_sit,a living room,an adult person,a sofa,a coffee table; a floor lamp,"an adult person on the left third of the frame facing a sofa in the far right distance, with a coffee table and a floor lamp clearly visible in the background","An adult person stands on the living room floor, facing the sofa.",The adult person walks toward the sofa.,"The adult lies on the wood floor resting his head on one arm, without walking toward the sofa.",The adult person sits down on the sofa.,living_room_adult_sofa_sit__T0__none,living_room_adult_sofa_sit__T1__none,living_room_adult_sofa_sit__T2_div_a__none,living_room_adult_sofa_sit__T2_div_b__none,none,spatial,state_only,full
5,kitchen_adult_counter_bowl_place,a kitchen,an adult person holding a ceramic bowl,a kitchen counter,a sink cabinet; a kitchen chair,"an adult person holding a ceramic bowl on the left third of the frame facing a kitchen counter in the far right distance, with a sink cabinet and a kitchen chair clearly visible in the background","An adult person stands on the kitchen floor holding a ceramic bowl, facing the counter.",The adult person walks toward the kitchen counter.,"The adult cradles the ceramic bowl with both hands, without walking toward the kitchen counter.",The adult person places the bowl onto the kitchen counter.,kitchen_adult_counter_bowl_place__T0__none,kitchen_adult_counter_bowl_place__T1__none,kitchen_adult_counter_bowl_place__T2_div_a__none,kitchen_adult_counter_bowl_place__T2_div_b__none,none,spatial,state_only,full
6,kitchen_cat_cup_knock,a kitchen,a house cat,a ceramic cup on the counter edge,a sink cabinet; a fruit bowl,"a house cat on the left third of the frame facing a ceramic cup on the counter edge in the far right distance, with a sink cabinet and a fruit bowl clearly visible in the background","A house cat stands at one end of the kitchen counter, facing a ceramic cup near the counter edge.",The cat walks along the counter toward the cup.,"The cat crouches compactly on the kitchen counter, without pawing the ceramic cup.",The cat knocks the cup off the counter onto the floor.,kitchen_cat_cup_knock__T0__none,kitchen_cat_cup_knock__T1__none,kitchen_cat_cup_knock__T2_div_a__none,kitchen_cat_cup_knock__T2_div_b__none,none,spatial,state_only,full
7,dining_room_adult_chair_sit,a dining room,an adult person,a dining chair,a dining table; a side table,"an adult person on the left third of the frame facing a dining chair in the far right distance, with a dining table and a side table clearly visible in the background","An adult person stands on the dining room floor, facing a dining chair.",The adult person walks toward the dining chair.,"The adult sits cross-legged on the wood floor, without walking toward the dining chair.",The adult person sits down on the dining chair.,dining_room_adult_chair_sit__T0__none,dining_room_adult_chair_sit__T1__none,dining_room_adult_chair_sit__T2_div_a__none,dining_room_adult_chair_sit__T2_div_b__none,none,spatial,state_only,full
8,dining_room_child_chair_sit,a dining room,a child,a dining chair,a dining table; a fruit bowl,"a child on the left third of the frame facing a dining chair in the far right distance, with a dining table and a fruit bowl clearly visible in the background","A child stands on the dining room floor, facing a dining chair.",The child walks toward the dining chair.,"The child sits on the wood floor hugging his knees, without walking toward the dining chair.",The child climbs onto the dining chair and sits down.,dining_room_child_chair_sit__T0__none,dining_room_child_chair_sit__T1__none,dining_room_child_chair_sit__T2_div_a__none,dining_room_child_chair_sit__T2_div_b__none,none,spatial,state_only,full
9,backyard_adult_patio_chair_sit,a backyard patio,an adult person,a patio chair,a garden bench; a wooden fence,"an adult person on the left third of the frame facing a patio chair in the far right distance, with a garden bench and a wooden fence clearly visible in the background","An adult person stands on the patio paving, facing a patio chair.",The adult person walks toward the patio chair.,"The adult sits back on his heels on the stone paving, without walking toward the patio chair.",The adult person sits down on the patio chair.,backyard_adult_patio_chair_sit__T0__none,backyard_adult_patio_chair_sit__T1__none,backyard_adult_patio_chair_sit__T2_div_a__none,backyard_adult_patio_chair_sit__T2_div_b__none,none,spatial,state_only,full
10,backyard_dog_water_bowl_tip,a backyard patio,a medium-sized dog,a metal water bowl,a garden bench; a wooden fence,"a medium-sized dog on the left third of the frame facing a metal water bowl in the far right distance, with a garden bench and a wooden fence clearly visible in the background","A medium-sized dog waits on the patio paving, facing a metal water bowl.",The dog runs toward the water bowl.,"The dog holds a play-bow posture on the stone paving, without walking toward the water bowl.",The dog bumps the bowl over and water spills across the paving.,backyard_dog_water_bowl_tip__T0__none,backyard_dog_water_bowl_tip__T1__none,backyard_dog_water_bowl_tip__T2_div_a__none,backyard_dog_water_bowl_tip__T2_div_b__none,none,spatial,state_only,full
