model_id,display_name,paper_group,source_group,model_input,viewpoint_condition_type,n_outputs,D1_CamPrec,D1_CamPrec_n,D1_CamAlign_common_yaw,D1_CamAlign_common_yaw_n,D1_CamAlign_static_hold,D1_CamAlign_static_hold_n,D2,D2_n,D3,D3_n,D4,D4_n,D5,D5_n,D6,D6_n,gate_applicable_rate,low_n_flag,metric_notes,Avg
gen3c,Gen3C,V2V,local_deployed,TV2V,geometry-cache,400,0.698673268222,400,0.763661,400,NA,0,0.749128848955,400,0.7226223275,400,0.55832766,400,0.68128519863,292,0.640176664384,292,0.73,false,D1-CamPrec and D1-CamAlign are separate metrics; D5/D6 are conditional over shared-E14 applicable rows; CamAlign common-yaw uses d1_camalign_v2_lite (2026-06-10),0.6858669499115
hailuo_2_3,Hailuo 2.3,API prompt-camera,api_prompt_camera,TI2V,prompt-only,300,NA,0,0.074558,200,0.981497,100,0.828514992061,300,0.890903776667,300,0.758899813333,300,0.718581,19,0.641525789474,19,0.0633333333333,true,D1-CamPrec and D1-CamAlign are separate metrics; D5/D6 are conditional over shared-E14 applicable rows; D1-CamPrec not applicable to API prompt-camera rows; low re-observation support: D5/D6 n < 10 or gate_applicable_rate < 0.10; CamAlign common-yaw uses d1_camalign_v2_lite (2026-06-10),0.6521638952558334
happyhorse_1_0_i2v,HappyHorse 1.0 I2V,API prompt-camera,api_prompt_camera,TI2V,prompt-only,300,NA,0,0.024535,200,0.922438,100,0.860335317714,300,0.87469286,300,0.71513801,300,0.779475774194,31,0.695482548387,31,0.103333333333,false,D1-CamPrec and D1-CamAlign are separate metrics; D5/D6 are conditional over shared-E14 applicable rows; D1-CamPrec not applicable to API prompt-camera rows; CamAlign common-yaw uses d1_camalign_v2_lite (2026-06-10),0.6582765850491666
hunyuan_game_craft,Hunyuan GameCraft,Interactive,local_deployed,TI2V,model-inferred,400,0.534075475538,400,0.360795,400,NA,0,0.705359823713,400,0.671783215,400,0.4401988425,400,0.554439333333,24,0.490242458333,24,0.06,true,D1-CamPrec and D1-CamAlign are separate metrics; D5/D6 are conditional over shared-E14 applicable rows; low re-observation support: D5/D6 n < 10 or gate_applicable_rate < 0.10; Hunyuan GameCraft static-hold rows removed from the full benchmark set before aggregation; CamAlign common-yaw uses d1_camalign_v2_lite (2026-06-10),0.5371364454798334
hunyuan_worldplay,Hunyuan WorldPlay,Interactive,local_deployed,TI2V,model-inferred,500,0.708315962852,500,0.260852,400,NA,0,0.869801497146,500,0.73659917,500,0.522926138,500,0.639683884615,104,0.602829153846,104,0.208,false,D1-CamPrec and D1-CamAlign are separate metrics; D5/D6 are conditional over shared-E14 applicable rows; CamAlign common-yaw uses d1_camalign_v2_lite (2026-06-10),0.6054486406011667
hydra,Hydra,V2V,local_deployed,TV2V,source-video,400,0.822318120077,400,0.854661,400,NA,0,0.691303712003,400,0.6477865975,400,0.50005684,400,0.508819842105,133,0.445027180451,133,0.3325,false,D1-CamPrec and D1-CamAlign are separate metrics; D5/D6 are conditional over shared-E14 applicable rows; CamAlign common-yaw uses d1_camalign_v2_lite (2026-06-10),0.6079425286765
inspatio_world_14b,InSpatio World 14B,V2V,local_deployed,TV2V,source-video,400,0.693372270332,400,0.661046,400,NA,0,0.824239589632,400,0.820893435,400,0.6682933025,400,0.733576232932,249,0.664453975904,249,0.6225,false,D1-CamPrec and D1-CamAlign are separate metrics; D5/D6 are conditional over shared-E14 applicable rows; CamAlign common-yaw uses d1_camalign_v2_lite (2026-06-10),0.7287504226613333
kling_v2_6,Kling v2.6,API prompt-camera,api_prompt_camera,TI2V,prompt-only,300,NA,0,0.09363,200,0.985198,100,0.864106809528,300,0.854208363333,300,0.67445893,300,0.7105715,10,0.6169894,10,0.0333333333333,true,D1-CamPrec and D1-CamAlign are separate metrics; D5/D6 are conditional over shared-E14 applicable rows; D1-CamPrec not applicable to API prompt-camera rows; low re-observation support: D5/D6 n < 10 or gate_applicable_rate < 0.10; CamAlign common-yaw uses d1_camalign_v2_lite (2026-06-10),0.6356608338101667
lingbot_world,Lingbot World,Camera,local_deployed,TI2V,model-inferred,500,0.513166219737,500,0.174531,400,NA,0,0.870428621536,500,0.875510382,500,0.73469463,500,0.716896766667,30,0.662628866667,30,0.06,true,D1-CamPrec and D1-CamAlign are separate metrics; D5/D6 are conditional over shared-E14 applicable rows; low re-observation support: D5/D6 n < 10 or gate_applicable_rate < 0.10; CamAlign common-yaw uses d1_camalign_v2_lite (2026-06-10),0.6724483778116666
lingbot_world_act,Lingbot Act,Camera,local_deployed,TI2V,model-inferred,500,0.468415889285,500,0.167776,400,NA,0,0.855666152251,500,0.873558238,500,0.71915545,500,0.7708950625,32,0.7254394375,32,0.064,true,D1-CamPrec and D1-CamAlign are separate metrics; D5/D6 are conditional over shared-E14 applicable rows; low re-observation support: D5/D6 n < 10 or gate_applicable_rate < 0.10; CamAlign common-yaw uses d1_camalign_v2_lite (2026-06-10),0.6854150567085
liveworld,LiveWorld,Camera,local_deployed,TV2V,model-inferred,500,0.8121368981,500,0.855566,400,NA,0,0.775149112976,500,0.703464608,500,0.54072688,500,0.661172151515,198,0.599960616162,198,0.396,false,D1-CamPrec and D1-CamAlign are separate metrics; D5/D6 are conditional over shared-E14 applicable rows; CamAlign common-yaw uses d1_camalign_v2_lite (2026-06-10),0.6893398947755
magicworld,MagicWorld,Interactive,local_deployed,TI2V,model-inferred,500,0.763846235988,500,0.720109,400,NA,0,0.542846623785,500,0.623476598,500,0.457725808,500,0.583945186667,75,0.573926986667,75,0.15,false,D1-CamPrec and D1-CamAlign are separate metrics; D5/D6 are conditional over shared-E14 applicable rows; CamAlign common-yaw uses d1_camalign_v2_lite (2026-06-10),0.5836717005198334
recammaster,ReCamMaster,V2V,local_deployed,TV2V,source-video,400,0.716977662377,400,0.729189,400,NA,0,0.7401647541,400,0.715309525,400,0.534607135,400,0.664939957265,234,0.616121816239,234,0.585,false,D1-CamPrec and D1-CamAlign are separate metrics; D5/D6 are conditional over shared-E14 applicable rows; CamAlign common-yaw uses d1_camalign_v2_lite (2026-06-10),0.6667220312673333
spatia,Spatia,V2V,local_deployed,TV2V,geometry-cache,500,0.704199145789,500,0.481764,400,NA,0,0.763378869774,500,0.73106498,500,0.541310104,500,0.600367883721,129,0.586199550388,129,0.258,false,D1-CamPrec and D1-CamAlign are separate metrics; D5/D6 are conditional over shared-E14 applicable rows; CamAlign common-yaw uses d1_camalign_v2_lite (2026-06-10),0.6173475646471666
